datetime,site,own_stored_kwh,shared_stored_kwh,soc_kwh
2024-01-01 00:00:00,Autobusák,0.0,0.0,0.0
2024-01-01 00:00:00,KD Orfeum,0.0,0.0,0.0
2024-01-01 00:00:00,Kabelovka,0.0,0.0,0.0
2024-01-01 01:00:00,Autobusák,0.0,0.0,0.0
2024-01-01 01:00:00,KD Orfeum,0.0,0.0,0.0
2024-01-01 01:00:00,Kabelovka,0.0,0.0,0.0
2024-01-01 02:00:00,Autobusák,0.0,0.0,0.0
2024-01-01 02:00:00,KD Orfeum,0.0,0.0,0.0
2024-01-01 02:00:00,Kabelovka,0.0,0.0,0.0
2024-01-01 03:00:00,Autobusák,0.0,0.0,0.0
2024-01-01 03:00:00,KD Orfeum,0.0,0.0,0.0
2024-01-01 03:00:00,Kabelovka,0.0,0.0,0.0
